,Slice,Mean Intensity
729,729,288.4864
730,730,287.6656
731,731,289.5812
732,732,288.5044
733,733,289.1348
734,734,287.8892
735,735,289.1908
736,736,289.4004
737,737,287.678
738,738,289.7344
739,739,289.4412
740,740,290.2176
741,741,290.8932
742,742,289.0496
743,743,289.0052
744,744,288.3896
745,745,289.0044
746,746,281.7972
747,747,288.5584
748,748,287.2336
749,749,286.8324
750,750,288.7184
751,751,288.1688
752,752,289.056
753,753,289.1168
754,754,286.6392
755,755,288.5464
756,756,289.6348
757,757,288.4404
758,758,290.1356
759,759,289.6348
760,760,288.2628
761,761,288.0512
762,762,287.7928
763,763,290.6496
764,764,289.6524
765,765,288.6164
766,766,289.3856
767,767,288.236
768,768,287.132
769,769,287.726
770,770,288.1488
771,771,288.0052
772,772,288.1156
773,773,287.572
774,774,288.2944
775,775,288.576
776,776,288.0748
777,777,290.6112
778,778,291.6516
779,779,288.7952
780,780,290.8044
781,781,291.42
782,782,288.882
783,783,288.968
784,784,288.5724
785,785,290.5364
786,786,289.7272
787,787,285.4276
788,788,288.8772
789,789,288.8284
790,790,287.7944
791,791,288.5624
792,792,289.3468
793,793,289.2392
794,794,290.3832
795,795,287.8304
796,796,365.4172
797,797,380.9728
798,798,388.26
799,799,393.0724
800,800,396.0552
801,801,398.6308
802,802,400.2516
803,803,402.1668
804,804,405.0756
805,805,405.066
806,806,409.784
807,807,410.0352
808,808,410.6836
809,809,412.0852
810,810,415.654
811,811,414.572
812,812,415.7932
813,813,417.628
814,814,418.5292
815,815,419.2364
816,816,418.4012
817,817,417.6756
818,818,415.7628
819,819,415.8032
820,820,417.5568
821,821,417.0432
822,822,418.1028
823,823,417.91
824,824,419.3376
825,825,422.8604
826,826,421.7572
827,827,418.6232
828,828,419.0556
829,829,419.2688
830,830,415.3736
831,831,416.4568
832,832,419.9544
833,833,419.3512
834,834,417.8848
835,835,417.444
836,836,417.2228
837,837,417.5952
838,838,416.7596
839,839,405.8536
840,840,419.2084
841,841,422.3944
